ocel:eid;ocel:org:resource;ocel:concept:name;ocel:type:event;ocel:click:coorX;ocel:click:coorY;ocel:screenshot:screenW;ocel:screenshot:screenH;ocel:screenshot:name;header;ocel:timestamp;FileName;FileCompany;FileDescription;CommandLine;ActionNumber;Pid;ProgramId;FileId;FileVersion
0;User1;"User left click on ""Open (split button)"" in ""Open""";Mouse Left Click;1750;504;1920;1080;screenshot0001.JPEG;LOPEZ GUEVARA, EUGENIA;10:00:19;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --TYPE=UTILITY --UTILITY-SUB-TYPE=CHROME.MOJOM.UTILWIN --LANG=EN-US --SERVICE-SANDBOX-TYPE=NONE --MOJO-PLATFORM-CHANNEL-HANDLE=4512 --FIELD-TRIAL-HANDLE=1940,I,12517537696226441075,2549750398892976775,262144 /PREFETCH:8;1;8788;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
1;User1;"User left click on ""UMC HR Management Platform - Employee details (document)"" in ""UMC HR Management Platform - Employee details - Google Chrome""";Mouse Left Click;1814;116;1920;1080;screenshot0002.JPEG;LOPEZ GUEVARA, EUGENIA;10:00:21;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;2;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
2;User1;"User left click on ""File Explorer - 1 running window (button)""";Mouse Left Click;464;1054;1920;1080;screenshot0003.JPEG;LOPEZ GUEVARA, EUGENIA;10:00:23;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;3;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
3;User1;"User left double click on ""Name (edit)"" in ""covid_entry_point""";Mouse Left Double Click;456;388;1920;1080;screenshot0004.JPEG;LOPE;10:00:24;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;4;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
4;User1;"User left click on ""Search by first name, last name, birthdate or id (edit)"" in ""UMC HR Management Platform - Google Chrome""";Mouse Left Click;1484;190;1920;1080;screenshot0005.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:28;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;5;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
5;User1;"User left click on ""Open (split button)"" in ""Open""";Mouse Left Click;1750;504;1920;1080;screenshot0006.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:19;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --TYPE=UTILITY --UTILITY-SUB-TYPE=CHROME.MOJOM.UTILWIN --LANG=EN-US --SERVICE-SANDBOX-TYPE=NONE --MOJO-PLATFORM-CHANNEL-HANDLE=4512 --FIELD-TRIAL-HANDLE=1940,I,12517537696226441075,2549750398892976775,262144 /PREFETCH:8;6;8788;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
6;User1;"User left click on ""UMC HR Management Platform - Employee details (document)"" in ""UMC HR Management Platform - Employee details - Google Chrome""";Mouse Left Click;1814;116;1920;1080;screenshot0007.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:21;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;7;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
7;User1;"User left click on ""File Explorer - 1 running window (button)""";Mouse Left Click;464;1054;1920;1080;screenshot0008.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:23;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;8;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
8;User1;"User left double click on ""Name (edit)"" in ""covid_entry_point""";Mouse Left Double Click;456;388;1920;1080;screenshot0009.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:24;EXPLORER.EXE;Microsoft Corporation;Windows Explorer;EXPLORER.EXE  /LOADSAVEDWINDOWS;9;1440;0000f519feec486de87ed73cb92d3cac802400000000;000008a3589a9016172702c75f16fe3c694b90942514;10.0.19041.2311 (WinBuild.160101.0800)
9;User1;"User left click on ""Search by first name, last name, birthdate or id (edit)"" in ""UMC HR Management Platform - Google Chrome""";Mouse Left Click;1484;190;1920;1080;screenshot0010.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:28;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;10;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
10;User1;"User left click on ""Open (split button)"" in ""Open""";Mouse Left Click;1750;504;1920;1080;screenshot0011.JPEG;MARTINEZ ROJAS, ANTONIO;10:00:19;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --TYPE=UTILITY --UTILITY-SUB-TYPE=CHROME.MOJOM.UTILWIN --LANG=EN-US --SERVICE-SANDBOX-TYPE=NONE --MOJO-PLATFORM-CHANNEL-HANDLE=4512 --FIELD-TRIAL-HANDLE=1940,I,12517537696226441075,2549750398892976775,262144 /PREFETCH:8;11;8788;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
11;User1;"User left click on ""UMC HR Management Platform - Employee details (document)"" in ""UMC HR Management Platform - Employee details - Google Chrome""";Mouse Left Click;1814;116;1920;1080;screenshot0012.JPEG;MAR;10:00:21;CHROME.EXE;Google LLC;Google Chrome;CHROME.EXE  --INCOGNITO;12;636;000652d5cb245d5f0247aa925403de126a2100000904;0000950b016899eff0a4bef659d163f52fb92a528109;113.0.5672.93
